,open,high,low,close,volume
2014-10-22 14:30:00,782.22,782.22,779.13,779.9,48698.0
2014-10-22 14:45:00,780.67,780.67,779.13,780.67,25085.0
2014-10-22 15:00:00,779.9,781.45,779.9,781.45,46844.0
2014-10-23 09:45:00,782.99,795.37,782.99,793.83,502834.0
2014-10-23 10:00:00,793.83,799.24,790.73,795.37,375590.0
2014-10-23 10:15:00,795.37,796.92,792.28,793.83,144926.0
2014-10-23 10:30:00,794.6,796.15,792.28,795.37,115584.0
2014-10-23 10:45:00,794.6,798.47,793.83,796.15,168960.0
2014-10-23 11:00:00,796.15,796.92,795.37,795.37,64750.0
2014-10-23 11:15:00,794.6,795.37,790.73,793.05,49402.0
2014-10-23 11:30:00,792.28,793.05,787.64,789.96,70724.0
2014-10-23 13:15:00,789.96,791.51,789.18,790.73,42643.0
2014-10-23 13:30:00,789.96,791.51,787.64,791.51,81232.0
2014-10-23 13:45:00,790.73,791.51,789.96,790.73,51703.0
2014-10-23 14:00:00,790.73,797.7,789.96,795.37,129143.0
2014-10-23 14:15:00,795.37,796.15,789.96,791.51,45748.0
2014-10-23 14:30:00,790.73,793.83,790.73,793.83,47882.0
2014-10-23 14:45:00,792.28,793.05,789.96,790.73,75780.0
2014-10-23 15:00:00,790.73,793.83,790.73,792.28,82292.0
2014-10-24 09:45:00,799.24,800.79,790.73,794.6,229399.0
2014-10-24 10:00:00,795.37,797.7,793.05,797.7,123778.0
2014-10-24 10:15:00,797.7,798.47,794.6,795.37,115856.0
2014-10-24 10:30:00,795.37,796.92,793.05,793.05,67057.0
2014-10-24 10:45:00,793.83,796.15,793.05,795.37,55319.0
2014-10-24 11:00:00,796.15,796.15,794.6,795.37,35298.0
2014-10-24 11:15:00,795.37,796.15,794.6,795.37,23477.0
2014-10-24 11:30:00,796.15,796.15,792.28,793.83,22961.0
2014-10-24 13:15:00,794.6,796.15,793.05,795.37,45634.0
2014-10-24 13:30:00,795.37,796.15,794.6,796.15,42731.0
2014-10-24 13:45:00,796.15,796.15,793.05,793.05,32211.0
2014-10-24 14:00:00,793.83,793.83,789.96,791.51,59898.0
2014-10-24 14:15:00,790.73,791.51,788.41,788.41,52973.0
2014-10-24 14:30:00,789.18,789.18,786.09,786.86,50644.0
2014-10-24 14:45:00,786.09,788.41,786.09,788.41,43406.0
2014-10-24 15:00:00,787.64,788.41,785.32,787.64,60460.0
2014-10-27 09:45:00,781.45,782.99,773.71,780.67,115188.0
2014-10-27 10:00:00,780.67,782.22,776.8,777.58,58497.0
2014-10-27 10:15:00,777.58,778.35,775.26,776.8,73546.0
2014-10-27 10:30:00,776.8,779.13,776.8,777.58,38361.0
2014-10-27 10:45:00,776.8,778.35,776.8,777.58,32349.0
2014-10-27 11:00:00,778.35,779.9,776.8,779.9,28114.0
2014-10-27 11:15:00,778.35,781.45,778.35,778.35,28272.0
2014-10-27 11:30:00,779.13,779.9,776.8,778.35,30465.0
2014-10-27 13:15:00,777.58,779.13,772.94,773.71,119287.0
2014-10-27 13:30:00,772.94,774.48,772.16,774.48,67354.0
2014-10-27 13:45:00,773.71,778.35,773.71,778.35,43473.0
2014-10-27 14:00:00,778.35,779.9,777.58,779.13,25112.0
2014-10-27 14:15:00,779.13,779.9,776.03,778.35,40052.0
2014-10-27 14:30:00,778.35,778.35,772.94,775.26,133673.0
2014-10-27 14:45:00,774.48,777.58,772.94,775.26,61878.0
2014-10-27 15:00:00,776.03,776.8,774.48,775.26,47328.0
2014-10-28 09:45:00,777.58,782.22,777.58,782.22,74891.0
2014-10-28 10:00:00,782.22,783.77,780.67,781.45,79862.0
2014-10-28 10:15:00,781.45,781.45,779.9,780.67,41497.0
2014-10-28 10:30:00,781.45,782.22,779.9,780.67,36549.0
2014-10-28 10:45:00,780.67,782.22,779.9,781.45,32879.0
2014-10-28 11:00:00,781.45,782.22,780.67,782.22,20350.0
2014-10-28 11:15:00,781.45,782.22,780.67,780.67,18278.0
2014-10-28 11:30:00,781.45,782.22,780.67,781.45,30005.0
2014-10-28 13:15:00,782.22,782.99,781.45,782.99,36697.0
2014-10-28 13:30:00,782.22,782.99,781.45,782.99,33755.0
2014-10-28 13:45:00,782.22,783.77,782.22,782.99,41832.0
2014-10-28 14:00:00,782.99,784.54,781.45,783.77,34584.0
2014-10-28 14:15:00,783.77,785.32,783.77,784.54,33429.0
